filename,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220264 (Contact 2).mp3,-454.096750064005,106.93185052210747,-63.67102832330443,-15.157301892531507,11.185218457592304,-29.9165994438065,-30.877000944290884,-14.703225135356591,-2.567749413417349,-3.4384461361511938,-7.943788875259913,4.7567496336955575,6.672442642467352
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220250 (Contact 2).mp3,-510.58330599409584,153.55129395749734,-21.130747196829173,-18.841127389905456,-14.972397873610586,-10.926702164858915,1.635371171642375,-13.606017319182,-2.436848401388216,2.7611402766351496,-6.258960921989695,3.9824075426429384,-4.575665805416938
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220175 (Contact 10).mp3,-414.8942681085107,156.40164167255622,-26.65731022295557,20.008638895576823,-23.546884031696,-47.48338238826413,-13.856318644891667,-28.537370198116516,-8.248375016395453,-1.8049617069721455,-10.762838825125742,16.327477929158373,-0.882393806097794
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220251 (Contact 2).mp3,-505.3714758335198,68.06151317868965,-27.168825528375123,0.08523969517133656,-8.143976320454975,-22.573704566700513,-7.75731693703393,-9.680966196166993,-0.7218660225937863,1.8694457625355574,-4.8345002838174524,6.770294143730436,2.8107432442077926
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220181 (Contact 10).mp3,-510.0364992842596,120.79244835803074,-48.3628313808138,-11.645778916637672,11.372968604971447,-11.414328157550056,-15.565906913324575,-20.146229914735603,-6.227967152338935,1.1506676068344535,-4.307062190629094,2.578210454408018,-0.5008152750056216
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220201 (Contact 4).mp3,-485.5440162247181,94.09273100101275,-51.88812726705778,32.57618846381179,12.035144998097683,-21.072627729115855,-0.1267339741698807,-18.798980753533705,-2.1059778390683968,1.9352559782363643,-20.72279345891828,-0.05460797821947497,2.2642074041638276
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220278 (Contact 6).mp3,-496.6692526408781,122.76064686979075,-68.22240165966812,6.516070532672939,9.806114993468059,-24.82081724125965,-6.935431884909097,-15.942266823925948,-1.1812240419865783,3.710368270547216,-19.725622713935323,-3.1995887579221716,4.915340248044787
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220271 (Month 24).mp3,-333.17837025879777,62.58966194634573,32.009962612624676,-11.842510237848899,7.146563183361674,-5.0120589930711335,-18.34080277520319,-1.5040343821617381,-0.22113110274924375,2.3405502027651894,-8.573314369274696,4.765283707548751,-4.253335894852303
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220179 (Contact 22).mp3,-549.0648581909592,105.05188914437535,-12.776325508584934,-4.597397662231676,-0.06011659202894178,-15.279146938921555,-14.243249591054342,-12.455251957700485,-2.42967475168384,-1.5844629340972562,-3.9587959675924878,5.328790688275457,-0.04784358500794278
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220175 (Contact 36).mp3,-430.9264594237412,87.66815252982913,-19.743384129938242,14.523445683278716,-22.1731034376265,-27.40720500613552,-4.485842475206631,-26.431621968874026,-1.548944175427288,6.596977491198747,-9.615216135876302,10.090155372423135,-0.6638270629320476
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220187 (Contact 16).mp3,-458.9565377640836,127.68361083798317,-61.89494319662299,-42.91802791454347,-16.613840470061117,-5.979978995734804,-6.390972025332791,-23.121964658539067,5.213872527862224,10.873119895690216,-9.15192209067284,-0.5433959054473214,-4.694829752070667
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220209 (Contact 9).mp3,-455.8854374951768,108.28636066849245,-17.337579924065132,7.602469431440886,-17.392187592017763,-28.556157913476312,-6.858679051051204,-14.998319650231002,4.108311992845118,3.3518393950527807,-15.163142299506687,3.005232757902704,-4.428581008473523
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220292 (Contact 5).mp3,-655.3251146650525,79.21755517999406,-49.85709334209009,14.828640735543479,8.034354024355771,-12.730095165365155,5.428761828689447,-11.081757653607433,-1.6677743203390059,6.172623341554925,-9.215892081300652,1.5641166708360992,1.4801117167694446
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220251 (Contact 6).mp3,-412.2177118773353,132.6259165311017,-47.8960990491446,-15.424889489717584,-14.829215282701405,-49.02988062520099,-29.358334523977657,-13.119158516480999,-2.3625913439883126,-1.1763654971534803,-2.5602687108482747,11.871847422545803,5.09057048224548
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220190 (Contact 38).mp3,-464.6001159643577,127.24333799275172,-68.8629742319449,10.547770637262527,2.2459234007364675,-27.677108604980145,-6.793322336344984,-22.285549016939843,-7.072970917125989,1.2527549341919169,-8.732510564088782,5.265839741479077,-4.779866896277633
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220282 (Contact 13).mp3,-533.560797391108,76.35171807202529,-43.62194224299417,-7.604486743598116,-2.1657871288699866,-15.34097638264465,-2.5318368983540425,-2.6149993028177514,4.568342421707803,-0.8938828396578673,-8.243098942110317,6.2294372199876955,-0.427115118630849
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220253 (Contact 42).mp3,-378.6705064117678,167.75145103972702,8.973255881977543,8.757793949797293,4.715720164383854,-10.032133829932699,-8.013063947544756,-14.875679982426936,-1.8611498555109747,2.297649168572395,-7.299192581142692,-2.328676155765524,-9.09384008438659
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220219 (Contact 21).mp3,-470.1396931738909,104.77768248005367,-61.89881850076616,22.441262697068844,-26.587894665186088,-37.13643906928989,20.24518312151641,-12.728814184190801,-1.8951625950174142,9.387255425655583,-14.851952216501555,0.27460696073272617,-2.534029018743246
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220182 (Contact 4).mp3,-416.8886452822132,145.59941596079713,-24.617889713337316,-1.2418882523418426,-7.875571141247611,-26.8771586848968,-15.969198027497816,-20.61277202524492,0.9617854927961844,4.291891514821207,-12.094920752060277,4.508526009939598,2.456041142051281
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220254 (Contact 36).mp3,-608.8082608552818,71.94941176343661,-17.74026006111684,5.14905640905751,0.42046439970438476,-9.365053967197627,-2.7301437402064304,-6.184888831596134,4.1096532839803706,-0.3381697719569372,-4.924596356262749,8.685087352156044,-0.4455581256765671
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220215 (Contact 34).mp3,-486.7404079363245,120.19932217432935,-45.963300321944914,18.21814773633218,5.8097923569771295,-23.78925814795635,-8.999832045609597,-17.65630562281445,1.9740360686346856,-4.536288462289882,-20.42653451099587,8.268138003245369,-1.0427628860927085
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220174 (Contact 13).mp3,-521.9693431743277,124.95314622083242,-66.31736959490812,-10.77718948675464,5.646921379008356,-15.253990074919253,-11.344612106493702,-20.35312581950136,-1.2626638874483498,-3.118709680420096,-15.187074033504828,6.984355706721348,0.5425454723306683
/n/home02/ematsumoto/cough_mp3_full/Files_9_mp3/X220235 (Contact 7).mp3,-391.18513989750886,180.00237153239104,-48.29434820606242,-2.2718339227878994,-21.896298450653898,-30.06087124042117,-6.710301211723678,-30.66390586898591,-4.458145575710111,0.7921530515666839,-16.624291557635654,1.4217867332741225,-5.968660075277181
