filename,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120326 (Baseline).mp3,-292.4718740467097,124.06276081813505,-9.70932361274816,-13.394654425236562,-5.599438744487349,-13.953317764945396,-23.72022547907433,5.4234200860473205,1.227981522646829,-0.658195997718545,-10.165951381951327,-5.78704440502943,-4.673568700504165
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120344 (Month 24).mp3,-297.65870654779917,106.59596982810245,-23.60731563684294,9.023305995310906,-24.369961703388633,30.344665599604685,-45.49190864829857,21.766951976185627,1.1744019878435557,14.636445535283382,-4.724215614522435,-3.538766156222091,10.079305700222363
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120311 (Baseline).mp3,-383.12865290969546,114.18487290712646,-33.28239661105716,44.4173435018271,-17.698098850017093,31.338658005929382,-26.461507718916845,13.123505354484514,4.554895297741091,-1.1822935500619003,-0.5217278736103652,4.5348530696453695,8.090494904843592
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120463 (Month 16).mp3,-263.76247441263166,111.21013403736151,-42.82023892252907,29.41632750919342,-10.3394935103916,12.344169640481724,-31.36683627104876,0.8458166045675064,-13.103679000827025,-11.589869329822672,-7.173911110532039,-7.406877154139516,3.049051410772119
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120277 (Month 24).mp3,-343.5976285977239,103.6171235890477,-2.9063202522861653,40.958087535656,-1.12851201959215,1.8308967526842337,-20.40600573007594,-4.075069192771568,-8.205030237802935,-9.842490772744787,-11.862289491706933,-6.012778993264977,0.48357676067132055
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120401 (Month 16).mp3,-334.05098200755367,102.90869830130708,-13.79503509644673,37.32545169267579,-18.527170476430843,-5.546318997263684,-15.075296730161508,1.1890348041084695,-6.75051468803186,-11.986278749879665,-7.442409579899113,-11.012681434948215,-7.313958141519768
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120422 (Month 24).mp3,-385.6484297225281,83.32330182426976,-19.143741343684862,17.737656402714503,-11.082764892224947,0.9934768590465248,-22.72168831394818,-14.293810091482555,-2.592929073537934,-9.719448609188966,-14.38237392296748,-2.036394915957038,-3.290087835844531
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120334 (Contact 82).mp3,-584.5133039015823,96.35580792016864,-61.64553721075287,-9.778004486631835,1.105721996876961,-22.246405490958363,-5.350287312509075,-15.218410152505154,-12.151687463756195,2.1750319020628077,-10.48708956674781,-8.153779218222333,0.9239566282493431
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120404 (Month 16).mp3,-359.968722421271,84.61074033042769,-34.01265593402948,47.26936829779175,-3.35370642129636,6.848127467395981,-19.335097073291106,2.21794852580292,-11.786749512461077,-17.275497172495548,-12.673044905786266,-8.260873110245319,-1.104711104135384
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120366 (Contact 11).mp3,-593.215686743796,81.22377666378159,-0.25179862057983465,2.6614786382808466,-13.340956699658031,-11.625696828179805,-0.8296155960920069,-13.02172441877176,-2.1488807505519905,0.6822033193564357,-7.434444512405411,2.014628017434068,-0.21706357906567797
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120451 (Baseline).mp3,-264.1988808495808,107.92380709824245,27.832027367070555,13.462037992331075,20.958592224311097,-15.277428620303029,-16.452384593854134,-15.57819794940036,7.313382540617082,-5.1139547819181335,-13.34631154537146,-13.504676150187008,-2.7205154797821947
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120386 (Month 20).mp3,-300.479134204191,114.71400481262417,-49.96306397539558,45.36336616164819,-9.12818533853034,-3.5321164071918427,-24.602898906503764,10.438926561820558,-8.188181605725152,-12.686957422929854,2.683341096735716,-5.752756363154521,5.734582189729732
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120453 (Baseline).mp3,-361.4792817922555,111.97931809306883,-17.135438771532787,-10.48685456845941,16.893933395934845,-12.292635934879685,-21.4294667368978,0.48528780841838204,3.665812917849348,-20.06143972559197,-6.998117701886466,2.4022210235770634,-11.469686495950915
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120506 (Contact 13).mp3,-576.0972458694091,101.48682322312057,-22.784688467147998,6.3404848623229295,-7.9285141051516375,-20.74279794151846,-1.4342154160983023,-8.458711124809286,0.34259133690808874,1.2624130451053215,-4.839093801174277,7.694153037316296,-1.5946966822773259
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120452 (Baseline).mp3,-252.99403838899198,85.37699471532225,10.879786948351315,-16.467205253602476,12.786937737448294,-18.57088327972174,-19.930064049277643,-2.8460200461262484,-14.495405922762057,8.428563884195736,-9.921199260359566,-1.0836891896051728,-2.308254572930378
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120499 (Month 12).mp3,-231.38792426736126,91.47275311233327,-14.1526949680486,34.11544649507518,-14.39986961023611,24.183923533923654,-30.247447097014643,-6.130747660970312,-11.910532722528197,-0.6442475116180929,-7.954578117226872,-7.454560869257163,-9.872842433011316
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120426 (Contact 29).mp3,-531.5553950673761,106.4691726495734,-52.87484003798479,39.86533075962854,-23.659535365262325,-27.290020085273785,17.622470808331933,-29.204995650902546,-1.2487759062319213,5.967935908943851,-20.799409205936403,10.953759136659544,-3.1314605693276625
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120275 (Contact 12).mp3,-410.3810866040846,124.7562854324972,-56.29140348564152,11.448664642483674,-9.44239367629444,-46.392946458946625,-11.159367075591852,-15.956990107090588,-9.774568129434561,-1.8593755456533194,-13.093505869168434,1.922320224588088,-0.6276535446615629
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120274 (Contact 3).mp3,-490.929099118932,108.70904016791312,4.695351720400389,20.06920526947574,-14.75703593984448,-27.922951086016244,-6.604513918431835,-18.30752132561765,-5.619487955502724,-0.5857168130565943,-10.250563723966668,5.20110164001516,-2.6151206911553175
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120320 (Contact 5).mp3,-345.8989952583847,147.93169785064754,-17.269927246325004,17.88748624438571,-16.88313845431439,-53.35553490527819,-7.833242509700709,-0.19939775637595653,-2.2023349240810184,5.339174144558318,-4.0603855793604335,1.3246034785382172,-0.42458889216763296
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120315 (Contact 14).mp3,-353.49331924808087,173.07935941896864,-62.729694652870734,32.889761610536155,12.717024754386191,-26.60324338266985,-6.883487100310059,-38.86757051357776,-8.672309650094194,2.9235521650599687,-30.38478036387077,-2.126785471894754,-0.25650090477445375
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120335 (Contact 1).mp3,-428.9607506323366,131.82801258739542,-43.77476518850797,-10.779037664800494,-13.657025362590154,-18.98976264361944,-4.010077602813969,-23.059767069023152,-0.6934583435454817,6.529827549176627,-14.165139817191793,5.141009978093785,4.164751180661559
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120334 (Contact 64).mp3,-522.2010696685419,95.61738185601189,-58.655821511694654,-0.8970440197358733,-7.660878365969553,-22.290535438027515,0.1820586130379191,-16.503874623213438,0.7553699423879962,9.394952244956382,-12.92029368763735,1.6499253024491531,4.114643963238653
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120405 (Month 16).mp3,-372.4734561451116,92.82561444995649,-6.604295844228087,23.805975813702236,2.0820528969276215,2.9170476480245653,-15.712667863460576,-1.2121052363404454,-12.063928232131458,-6.079934667961162,-5.387082446969284,-7.342461646398767,-4.431328123957741
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120412 (Baseline).mp3,-237.75744090118224,14.55234498050635,-0.37375336286121014,0.5022625666610457,-8.502432140504714,-0.4031341889925976,-26.66584559581483,-5.8160403614981355,-12.78784673323139,2.9263253664886983,-8.243987564660802,-4.134299103154772,-3.7834863214145456
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120435 (Month 16).mp3,-385.61328259641795,102.40514137299802,-16.22377015724761,48.51970139668055,-2.6057500989187723,-0.7947827796335428,-22.99500750728172,6.386048231747102,3.6580274548437535,-8.352462559863573,-3.7237495993220144,4.294293855302179,0.3328249567395356
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120461 (Baseline).mp3,-271.5973846239346,120.89688205751335,-42.0851213417547,10.880431162675388,-39.13555109897015,14.711258921733776,-43.58970423094241,-12.262833021482745,-11.481811227782329,-3.5828626450214816,-11.572937431891182,-11.248553976734069,-6.982147964015215
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120383 (Month 20).mp3,-381.53466260961767,77.47024512203957,-8.99006593496878,19.17976825927948,-14.607750754836733,-5.653398439101858,-26.522853909065223,-0.3042038579186334,-11.672237929439728,-13.287351575729398,-10.869913194246593,0.27885421424789686,-4.155106604018621
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120436 (Contact 80).mp3,-593.1628398879182,76.29229395077417,-50.578704060922085,-5.66729795797033,-4.430218345157071,-18.770229646307705,-1.9306755336429462,-9.243638806159378,-5.481882617351315,-3.159643583760317,-6.157495637210083,4.98502892435073,-0.07408525143261756
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120437 (Contact 13).mp3,-380.96395706693755,117.153366792041,-38.967897080234614,-4.8063768297513345,-12.89297966597003,-37.18490455065713,-15.60242118156923,-8.567625553851567,3.436648290069193,-0.4304386547849866,-10.861165852495425,6.958262297875613,-0.7582209570429247
/n/home02/ematsumoto/cough_mp3_full/Files_4_mp3/X120394 (Month 16).mp3,-362.7399677374894,36.532202334147755,22.641716135871302,-21.47630328968534,4.183808500022322,-10.464112691325735,-8.415825681322671,-0.06460783801344241,-7.149000739116473,1.853809701773167,0.9118608248511657,-0.6557709961405753,-5.326884096672965
